扁柯盒籍,,,,
[八祸炼扒],,,,
磊丰备盒 : 岿,,,,
磊丰屈怕 : 扁夯,,,,
瘤开/瘤痢 : ,,,,
扁埃 : 2008~2018 01~12,,,,
,,,,
斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
08岿 10老,137,26.5,20.7,34.7
08岿 10老,138,27.9,22.5,35.7
08岿 10老,140,27.3,21.9,34.7
08岿 10老,143,28.7,22.9,36.5
08岿 10老,127,26.8,21.6,35.1
08岿 10老,129,25.7,19.9,31.8
08岿 10老,130,25,20,35.7
08岿 10老,131,28,22.9,35.7
08岿 10老,133,27.1,21.9,33.9
08岿 10老,112,26.1,18.9,33.2
08岿 10老,114,27.1,21.6,36
08岿 10老,115,25.9,21.2,32.7
08岿 10老,119,26.9,21.4,34.2
08岿 10老,121,26,20.6,35.7
08岿 10老,101,26,19.6,33.9
08岿 10老,102,24.4,18.1,29.9
08岿 10老,104,25.7,19,36.3
08岿 10老,105,26.5,19.7,37.1
08岿 10老,106,25.4,19.7,37
08岿 10老,108,26.5,19.9,33.8
08岿 10老,90,25.7,19.6,35.1
08岿 10老,95,25.3,17.7,32.9
08岿 10老,98,25.2,17.6,33
08岿 10老,99,25.7,18.1,34.1
08岿 10老,100,22.2,14.6,30.1
09岿 10老,138,22.9,13,33.3
09岿 10老,140,22.6,8.3,33.9
09岿 10老,143,23.3,10.8,34.7
09岿 10老,127,21.1,6.8,33.5
09岿 10老,129,21.3,7.1,31.4
09岿 10老,130,20,7.8,31.4
09岿 10老,131,22.8,7.5,34.3
09岿 10老,133,21.9,7.3,32.9
09岿 10老,135,20.4,6.5,31.4
09岿 10老,112,22.1,10.8,30.8
09岿 10老,114,21.1,7.2,34.2
09岿 10老,115,21.1,13.9,30.8
09岿 10老,119,22.2,7.7,33.7
09岿 10老,121,20.3,5.9,33.6
09岿 10老,102,21.2,12.1,28.3
09岿 10老,104,19.8,9,30.6
09岿 10老,105,20.7,10.3,31.9
09岿 10老,106,20,8.9,31.9
09岿 10老,108,21.8,8.4,31.4
09岿 10老,90,20.4,9.5,31.1
09岿 10老,95,19.8,4.2,31.1
09岿 10老,98,20.2,5,31
09岿 10老,99,20.7,5.5,32.5
09岿 10老,100,15.9,-0.1,29
09岿 10老,101,20.3,7.2,31.8
09岿 10老,295,23.4,12.4,32.8
09岿 10老,283,21.3,7.4,35.1
09岿 10老,284,20.9,6,32.7
09岿 10老,285,22.5,8.3,34.6
09岿 10老,288,23,9.1,35.2
09岿 10老,289,21.9,8.5,32.7
09岿 10老,294,23.4,12.4,33.5
09岿 10老,273,19.5,4.9,31.6
09岿 10老,276,19,4.4,32.7
09岿 10老,277,21.4,9.8,33.8
09岿 10老,278,21.2,5.1,34.3
09岿 10老,279,21.9,8.5,33.5
09岿 10老,281,21.3,6.1,34.9
09岿 10老,261,23.2,8.7,33
09岿 10老,262,23.1,8.8,32.3
09岿 10老,263,22.2,8.1,33.3
09岿 10老,264,21.1,6.7,32.5
09岿 10老,271,18.7,2.4,32.4
09岿 10老,272,20.2,4.4,32.8
09岿 10老,255,23.3,12,33.5
09岿 10老,257,23.9,11.9,35
09岿 10老,258,23.3,10.7,32
09岿 10老,259,22.7,10.7,31.8
09岿 10老,260,23,9.3,32.3
09岿 10老,247,21.8,6.5,33.2
09岿 10老,248,20.2,5.7,31.5
09岿 10老,251,23.3,9.3,33.4
09岿 10老,252,22.8,7.5,33.7
09岿 10老,253,24.9,13.9,35.5
09岿 10老,254,22,7.2,33
09岿 10老,236,22.4,6.2,33.8
09岿 10老,238,21,6.3,34
09岿 10老,243,22.6,7.7,34.2
09岿 10老,244,20.7,5.8,32.8
09岿 10老,245,23.5,9.2,34.8
09岿 10老,216,17.4,1,31.8
09岿 10老,217,18.7,5.5,32.1
09岿 10老,221,19.5,4.6,32.1
09岿 10老,226,20.4,6.1,32.5
09岿 10老,232,21.6,4.8,33
09岿 10老,235,22.7,8.9,33.6
09岿 10老,201,20.9,5.8,31.4
09岿 10老,202,20.9,6.2,33.4
09岿 10老,203,20.5,5.9,32.8
09岿 10老,211,18.6,5.6,30.7
09岿 10老,212,20.4,6,34.5
09岿 10老,175,20.9,10.9,30.6
09岿 10老,184,24.2,14.8,33.9
09岿 10老,185,24.1,16.5,32
09岿 10老,188,24.8,15.5,31.9
09岿 10老,189,25.5,17.6,31.7
09岿 10老,192,22.7,8.5,33.9
09岿 10老,162,23.1,14,33.5
09岿 10老,165,23,11.5,31.2
09岿 10老,168,23.4,15.7,30.6
09岿 10老,169,22.2,15,30.4
09岿 10老,170,23.5,12,32.7
09岿 10老,146,23.2,7.9,34.5
09岿 10老,152,22.7,11.8,33.6
09岿 10老,155,23.7,14.1,33.2
09岿 10老,156,23.6,11,33.8
09岿 10老,159,24.1,16.8,32.3
09岿 10老,136,21.4,7.6,33.9
09岿 10老,137,20.9,7.1,33.3
10岿 10老,138,17.3,5.4,25.7
10岿 10老,140,14.9,1.9,23.8
10岿 10老,143,16.4,2.2,27
10岿 10老,127,13.1,-3.7,24.6
10岿 10老,129,13.7,-0.7,23.6
10岿 10老,130,14.6,3,24
10岿 10老,131,14.8,-1.1,25.4
10岿 10老,133,14.2,-1.6,24.4
10岿 10老,135,13,-4.6,23
10岿 10老,112,15.1,0.7,23.8
10岿 10老,114,13.7,-1.9,24.9
10岿 10老,115,15.2,2.4,22.9
10岿 10老,119,14.4,-1.6,24.7
10岿 10老,121,13,-3.9,24.9
10岿 10老,102,13.9,2.1,22.2
10岿 10老,104,14.3,2.3,23.9
10岿 10老,105,14.9,2.6,25.4
10岿 10老,106,14.8,3.1,25.4
10岿 10老,108,14.5,0.7,24.2
10岿 10老,90,14.9,2.4,24.4
10岿 10老,95,11.9,-5.2,24.1
10岿 10老,98,12.6,-3.8,24.6
10岿 10老,99,12.4,-3.6,26
10岿 10老,100,8.7,-6.2,22
10岿 10老,101,12.6,-3.7,24.5
10岿 10老,295,16.7,4.2,26.2
10岿 10老,283,14.8,-0.1,26.1
10岿 10老,284,12.8,-4.3,26.2
10岿 10老,285,14.9,-1.6,27.7
10岿 10老,288,15.8,-0.6,28
10岿 10老,289,14.3,-2.3,27
10岿 10老,294,17.2,6.1,26.8
10岿 10老,273,12.5,-4,24.5
10岿 10老,276,12.2,-3.7,23.7
10岿 10老,277,15.5,3.3,25.9
10岿 10老,278,13.2,-4.7,26.6
10岿 10老,279,14.3,-2,26
10岿 10老,281,14.4,-1.8,25.9
10岿 10老,261,15,-1.8,25.7
10岿 10老,262,16,-0.5,27.9
10岿 10老,263,15.1,-1.4,27.6
10岿 10老,264,13.2,-3.6,26.1
10岿 10老,271,11,-4.3,23.9
10岿 10老,272,12.6,-3.2,24.2
10岿 10老,255,16.5,2.8,26.3
10岿 10老,257,17.8,4.2,27.6
10岿 10老,258,15.9,1.2,25.9
10岿 10老,259,15.3,-0.2,25.4
10岿 10老,260,15.5,0.2,26.2
10岿 10老,247,13.5,-3.2,25.6
10岿 10老,248,11.9,-4.9,24.5
10岿 10老,251,14.9,-0.5,26.8
10岿 10老,252,14.6,-0.7,25.7
10岿 10老,253,18.5,3.3,28.8
10岿 10老,254,13.6,-2.3,25.1
10岿 10老,236,14.1,-1.8,25.9
10岿 10老,238,12.7,-5.1,24.7
10岿 10老,243,14.3,-2.1,24.5
10岿 10老,244,12.4,-4.9,24.8
10岿 10老,245,15,-1.4,25.7
10岿 10老,216,10.5,-3.3,23.7
10岿 10老,217,11.7,-2.3,24
10岿 10老,221,11.6,-5.4,23.5
10岿 10老,226,12.1,-5.5,23.7
10岿 10老,232,13.2,-4.3,24.8
10岿 10老,235,15,0,24.4
10岿 10老,201,13.1,-1.9,24.3
10岿 10老,202,13.1,-2.9,25.9
10岿 10老,203,12.5,-4.3,25.1
10岿 10老,211,11.6,-3.3,23.2
10岿 10老,212,12.7,-4.4,24.8
10岿 10老,175,13.7,-0.1,25.2
10岿 10老,184,17.6,6.8,26.3
10岿 10老,185,18,7.3,26.9
10岿 10老,188,18.1,7.7,28.2
10岿 10老,189,19.5,8,27.2
10岿 10老,192,15.3,-0.9,26.2
10岿 10老,162,17.2,5.6,27
10岿 10老,165,15.6,1,25.3
10岿 10老,168,17.2,5.7,24.8
10岿 10老,169,16.1,7.5,23.5
10岿 10老,170,16.4,2.1,26.3
10岿 10老,146,15,-1.6,25.3
10岿 10老,152,16.6,4.3,25.9
10岿 10老,155,17.3,5,26.6
10岿 10老,156,15.7,1.5,25.8
10岿 10老,159,18.2,5.5,26.9
10岿 10老,136,13.8,-2.5,25.6
10岿 10老,137,13.3,-3.8,24.4
11岿 10老,137,5.8,-6.3,18.4
11岿 10老,138,10.2,0.6,20
11岿 10老,140,7.9,-1.6,18.5
11岿 10老,143,8.6,-2,19.5
11岿 10老,127,4.7,-7,18.8
11岿 10老,129,7,-3.7,16.7
11岿 10老,130,8.9,-1.9,21.9
11岿 10老,131,7,-3.8,19.3
11岿 10老,133,6.9,-4.3,18.4
11岿 10老,135,5.7,-6.3,17.1
11岿 10老,112,7.7,-4.1,17
11岿 10老,114,5.8,-5.5,18.5
11岿 10老,115,9.8,1.4,19
11岿 10老,119,6.4,-4.6,18
11岿 10老,121,4.6,-7.1,17.4
11岿 10老,102,7.7,-1.7,16.1
11岿 10老,104,8.5,-4.1,20.6
11岿 10老,105,9.4,-2,20.8
11岿 10老,106,9.1,-1,20.6
11岿 10老,108,6.5,-5.2,17.4
11岿 10老,90,9.1,-1.9,21.1
11岿 10老,95,3.5,-8.8,16.7
11岿 10老,98,4.8,-7.4,18.6
11岿 10老,99,4.5,-8.6,18
11岿 10老,100,1.9,-10.1,13.5
11岿 10老,101,4.2,-7.6,17.7
11岿 10老,295,9.2,-0.5,19.7
11岿 10老,283,6.3,-6.6,20
11岿 10老,284,5,-7.6,19.9
11岿 10老,285,6.5,-5.4,20.6
11岿 10老,288,6.8,-5.4,20
11岿 10老,289,6.9,-5.1,20.5
11岿 10老,294,9.6,-0.8,20.1
11岿 10老,273,5.2,-6.6,17.5
11岿 10老,276,3.7,-9.5,17.1
11岿 10老,277,8.9,-2.4,20.1
11岿 10老,278,4.2,-8.9,18.7
11岿 10老,279,6.5,-5.2,18.8
11岿 10老,281,5.9,-7.6,19.2
11岿 10老,261,7.5,-5.2,19.7
11岿 10老,262,8.2,-4.1,21
11岿 10老,263,5.9,-5.4,20.9
11岿 10老,264,5.7,-6.5,20
11岿 10老,271,2.2,-10.4,16.2
11岿 10老,272,4.7,-7.6,17.4
11岿 10老,255,8.7,-1.6,19.7
11岿 10老,257,9.2,-1.5,20.4
11岿 10老,258,8.2,-3.5,19.4
11岿 10老,259,7.5,-3.4,19.2
11岿 10老,260,7.7,-4.2,20.7
11岿 10老,247,5.1,-6.6,19.3
11岿 10老,248,4.2,-6.9,17.2
11岿 10老,251,8.2,-2.2,19.6
11岿 10老,252,7.7,-3.1,19.3
11岿 10老,253,10.6,-1.1,21.1
11岿 10老,254,5.7,-5.4,18.7
11岿 10老,236,6.6,-4,18.6
11岿 10老,238,4.9,-7,18.6
11岿 10老,243,7.7,-3.3,18.9
11岿 10老,244,4.3,-7.6,18.8
11岿 10老,245,8.3,-2.2,19.9
11岿 10老,216,3.7,-7.9,17.4
11岿 10老,217,3.6,-7.4,15.6
11岿 10老,221,3,-11.7,17.1
11岿 10老,226,4.5,-6.7,17.3
11岿 10老,232,6.1,-5.2,18.7
11岿 10老,235,8.2,-2.1,17.7
11岿 10老,201,5.4,-7.6,17.3
11岿 10老,202,4.8,-6.8,17.8
11岿 10老,203,4.5,-7.1,17.8
11岿 10老,211,3.7,-6.8,17
11岿 10老,212,4.1,-7.2,17.8
11岿 10老,184,11.7,3.5,22.1
11岿 10老,185,12.9,5,19.9
11岿 10老,188,12.1,2.3,21.6
11岿 10老,189,14,5.4,21.1
11岿 10老,192,6.7,-5.1,19.8
11岿 10老,162,10.1,1.2,20.5
11岿 10老,165,9,0.8,18.6
11岿 10老,168,10.3,1.9,18.3
11岿 10老,169,10.7,4.4,18.6
11岿 10老,170,9.3,-0.7,19.3
11岿 10老,172,,,
11岿 10老,175,7.7,-1,18.2
11岿 10老,146,7.9,-3.2,18.8
11岿 10老,152,9,-2.1,20.7
11岿 10老,155,9.8,0.5,19.1
11岿 10老,156,8.4,-1.2,19.5
11岿 10老,159,11.3,1.8,21
11岿 10老,136,5.5,-7.2,18
12岿 10老,136,-0.7,-12.4,14.7
12岿 10老,137,-0.6,-12.6,15.6
12岿 10老,138,4.1,-8.7,19.4
12岿 10老,140,1.7,-10,17.2
12岿 10老,143,2,-10,16.9
12岿 10老,127,-1.8,-14.1,12.2
12岿 10老,129,0.8,-12.5,15.6
12岿 10老,130,3.5,-10.3,20.9
12岿 10老,131,0,-12.4,14.8
12岿 10老,133,0.1,-13.1,16.3
12岿 10老,135,-0.7,-12.8,14.4
12岿 10老,112,0.1,-12.6,15.1
12岿 10老,114,-1.6,-14.2,16
12岿 10老,115,4.2,-5.9,16.5
12岿 10老,119,-0.8,-14.3,14.7
12岿 10老,121,-1.8,-14.9,12.5
12岿 10老,102,0.9,-11.1,12.1
12岿 10老,104,2.4,-10.8,18.1
12岿 10老,105,2.9,-11.1,19.5
12岿 10老,106,3.3,-9.3,18.1
12岿 10老,108,-1.3,-15.1,13.5
12岿 10老,90,2.8,-10.7,17.7
12岿 10老,95,-3.6,-19.5,12.9
12岿 10老,98,-2.5,-16,12.9
12岿 10老,99,-2.9,-19.5,13.4
12岿 10老,100,-4.3,-19.4,11.2
12岿 10老,101,-3.2,-17.3,9.3
12岿 10老,295,3.8,-6.5,17.1
12岿 10老,283,1.1,-10.3,18.6
12岿 10老,284,-0.3,-11.4,16.6
12岿 10老,285,0.9,-11.2,17
12岿 10老,288,1.4,-9.9,18
12岿 10老,289,1.4,-8.9,15.9
12岿 10老,294,4.4,-6,19.2
12岿 10老,273,-0.9,-13.4,15
12岿 10老,276,-1.6,-13.1,15.2
12岿 10老,277,2.8,-10.5,19.8
12岿 10老,278,-1.8,-15.1,15.3
12岿 10老,279,-0.1,-10.9,15.6
12岿 10老,281,0.1,-11.3,17.4
12岿 10老,261,2.8,-8.1,19.5
12岿 10老,262,3.1,-8.1,20.1
12岿 10老,263,1,-10.7,17.4
12岿 10老,264,0.5,-9.8,16.5
12岿 10老,266,,,
12岿 10老,271,-3,-15.2,13.9
12岿 10老,272,-1.3,-13.7,14
12岿 10老,255,3,-9.2,18.3
12岿 10老,257,4.2,-7,18.9
12岿 10老,258,2.7,-7.5,16.9
12岿 10老,259,2.5,-9.8,17.6
12岿 10老,260,2.8,-10,19.8
12岿 10老,248,-1.5,-14,15.2
12岿 10老,251,2.5,-9.3,18.9
12岿 10老,252,2.1,-10.7,18.7
12岿 10老,253,4.2,-7.9,20
12岿 10老,254,0.1,-11.1,15.4
12岿 10老,236,0.1,-13.6,16.7
12岿 10老,238,-1.2,-15,17
12岿 10老,243,1.6,-11.5,18.1
12岿 10老,244,-1.6,-14.1,15.6
12岿 10老,245,1.8,-9.8,17.8
12岿 10老,247,-0.4,-14.3,15.4
12岿 10老,216,-2.5,-16.8,14.3
12岿 10老,217,-2.4,-15.2,12.7
12岿 10老,221,-3.5,-17.3,12.2
12岿 10老,226,-2,-14.8,14.7
12岿 10老,232,-0.3,-15.9,16.5
12岿 10老,235,1.8,-9.9,17.1
12岿 10老,201,-1.8,-15.3,15.5
12岿 10老,202,-2.4,-15.1,11
12岿 10老,203,-2.6,-14.8,10.6
12岿 10老,211,-2.8,-17.6,10.7
12岿 10老,212,-3,-17.1,10.2
12岿 10老,184,7.1,-0.6,17.8
12岿 10老,185,7.9,-1.3,19.9
12岿 10老,188,7.2,-1.9,20.6
12岿 10老,189,8.9,-2,21.3
12岿 10老,192,1.7,-9.4,17.9
12岿 10老,162,4.6,-6.4,17.2
12岿 10老,165,3.5,-8.4,18.7
12岿 10老,168,4.2,-7.4,16.7
12岿 10老,169,5.6,-3.2,17.3
12岿 10老,170,4.1,-6.7,18.9
12岿 10老,172,2.7,-9.9,19.2
12岿 10老,175,1.7,-10.2,17.6
12岿 10老,146,1.6,-10.3,17.6
12岿 10老,152,3.3,-8.5,19.8
12岿 10老,155,4,-8.3,17.4
12岿 10老,156,2.5,-9.3,18.3
12岿 10老,159,5.2,-8.1,19.3
01岿 11老,159,-0.7,-12.8,9.5
01岿 11老,135,-5.8,-15.9,1.8
01岿 11老,136,-5.5,-16.9,3.7
01岿 11老,137,-5.1,-15.8,3.6
01岿 11老,138,-1.6,-12.7,9.2
01岿 11老,140,-4.5,-13.6,3.3
01岿 11老,127,-8,-19.3,2
01岿 11老,129,-5.1,-14.7,3.4
01岿 11老,130,-2.3,-14,6.7
01岿 11老,131,-5.9,-15.5,2.9
01岿 11老,133,-5.7,-16.1,3.3
01岿 11老,108,-7.2,-17.8,0.3
01岿 11老,112,-5.6,-14.9,3.4
01岿 11老,114,-7.7,-18.6,1.9
01岿 11老,115,-1.3,-8.6,5.4
01岿 11老,119,-7.2,-16.9,3.2
01岿 11老,121,-7.9,-20.4,3.3
01岿 11老,101,-9.5,-22.5,1.1
01岿 11老,102,-4.3,-13.3,2.6
01岿 11老,104,-3.7,-16.2,6
01岿 11老,105,-2.8,-13.5,5.4
01岿 11老,106,-2.3,-12.9,6
01岿 11老,90,-2.7,-13.2,6.3
01岿 11老,95,-11.5,-24.3,3.6
01岿 11老,98,-8.8,-19.1,2.1
01岿 11老,99,-10.6,-23,0.7
01岿 11老,100,-11.2,-23.6,0.2
01岿 11老,294,-0.5,-10.4,7.3
01岿 11老,295,-1.5,-10.4,6.7
01岿 11老,283,-3.4,-14.7,6.3
01岿 11老,284,-5.3,-16.5,5.8
01岿 11老,285,-3.9,-16.4,7.1
01岿 11老,288,-3.2,-15.8,8.8
01岿 11老,289,-2.6,-11.7,5.1
01岿 11老,276,-6.4,-18.5,3.5
01岿 11老,277,-2.6,-15.1,6.7
01岿 11老,278,-7,-21.1,5.1
01岿 11老,279,-4.1,-13.9,4.1
01岿 11老,281,-3.7,-15.1,6.4
01岿 11老,263,-3.6,-17.1,7.3
01岿 11老,264,-3.8,-13.1,4.4
01岿 11老,266,,,
01岿 11老,271,-8.1,-21.7,3.6
01岿 11老,272,-6.1,-18.5,3.2
01岿 11老,273,-5.7,-16.2,4.2
01岿 11老,258,-1.9,-9.5,6.9
01岿 11老,259,-2.7,-11.1,5.9
01岿 11老,260,-2.4,-13.1,7.3
01岿 11老,261,-2.7,-11.3,6.3
01岿 11老,262,-1.7,-9.6,8.3
01岿 11老,252,-4.3,-14.5,4.6
01岿 11老,253,-1.4,-13.6,8.9
01岿 11老,254,-6,-15.4,2.8
01岿 11老,255,-1.9,-13.3,6.6
01岿 11老,257,-0.5,-11.7,8.7
01岿 11老,243,-5.1,-17,3.6
01岿 11老,244,-8.2,-18.7,4.7
01岿 11老,245,-4.9,-14.4,4
01岿 11老,247,-6.3,-17,3.6
01岿 11老,248,-8.8,-21.2,2.2
01岿 11老,251,-4.3,-13.5,4.8
01岿 11老,226,-8.1,-20.2,2.7
01岿 11老,232,-6.9,-18.3,3.5
01岿 11老,235,-4.5,-13.2,3.7
01岿 11老,236,-5.8,-15.9,3.6
01岿 11老,238,-7.3,-18.3,3
01岿 11老,211,-10.4,-22.7,4
01岿 11老,212,-9.5,-22.5,2.9
01岿 11老,216,-8.5,-20,1
01岿 11老,217,-8.7,-19.7,3
01岿 11老,221,-10,-23.2,1.8
01岿 11老,188,2.4,-3.2,9.1
01岿 11老,189,4,-3.7,10.7
01岿 11老,192,-3.1,-15.6,8
01岿 11老,201,-8.2,-20.1,2.3
01岿 11老,202,-8.4,-20.9,2.3
01岿 11老,203,-8.5,-20.6,1.5
01岿 11老,172,-4.1,-13.9,5.3
01岿 11老,175,-4.9,-10.8,4.2
01岿 11老,184,2.3,-2.8,8
01岿 11老,185,2.4,-3.6,8.4
01岿 11老,162,-0.6,-10.7,8.8
01岿 11老,165,-2.3,-8.3,4.7
01岿 11老,168,-1.5,-10.4,6.2
01岿 11老,169,0.4,-5.7,6.9
01岿 11老,170,-1.4,-7.1,6.9
01岿 11老,143,-2.5,-13.1,6.4
01岿 11老,146,-4.9,-13.4,5.1
01岿 11老,152,-1.9,-13.5,8.8
01岿 11老,155,-1.1,-13.1,6.6
01岿 11老,156,-3.4,-11.7,4.2
02岿 11老,159,6.1,-3.4,17.6
02岿 11老,135,1.4,-11.1,16
02岿 11老,136,1.4,-12,16.6
02岿 11老,137,1.8,-9.8,16.3
02岿 11老,138,5,-5.2,20
02岿 11老,140,1.3,-8.8,15.1
02岿 11老,127,0,-13.2,14.4
02岿 11老,129,0.8,-10.3,14.3
02岿 11老,130,2.8,-11.2,17.7
02岿 11老,131,1.8,-9.5,14.9
02岿 11老,133,1.8,-9.3,15.5
02岿 11老,108,1.2,-9.2,13.2
02岿 11老,112,1.4,-8.2,13.5
02岿 11老,114,0.8,-10.8,14.3
02岿 11老,115,2.9,-4.4,12.5
02岿 11老,119,0.6,-11.2,13.4
02岿 11老,121,0.3,-13.1,15.8
02岿 11老,101,-0.6,-12,14.9
02岿 11老,102,-0.1,-8.7,7.4
02岿 11老,104,1.6,-10.7,14.1
02岿 11老,105,2.5,-8.7,15.8
02岿 11老,106,2.5,-9.7,15.9
02岿 11老,90,2.1,-9,15.1
02岿 11老,95,-1.6,-14.5,13.3
02岿 11老,98,-0.1,-12.3,14.2
02岿 11老,99,-1.2,-14.5,12.8
02岿 11老,100,-3.5,-23.8,12.4
02岿 11老,294,4.9,-3.1,17.9
02岿 11老,295,4.2,-5.9,19
02岿 11老,283,1.8,-11.2,19.6
02岿 11老,284,0.8,-13.1,19.2
02岿 11老,285,2.2,-10.8,21.3
02岿 11老,288,3.1,-10,20.5
02岿 11老,289,2.8,-11,19.1
02岿 11老,276,-0.3,-16.7,15.7
02岿 11老,277,3.5,-8.7,19.5
02岿 11老,278,0.1,-14,18.2
02岿 11老,279,2.1,-9,17.8
02岿 11老,281,1.9,-11.3,19.1
02岿 11老,263,2.4,-11.4,20.6
02岿 11老,264,1.4,-12.2,17.7
02岿 11老,266,,,
02岿 11老,271,-1.2,-18.6,15.1
02岿 11老,272,0.7,-13.7,16.1
02岿 11老,273,1.5,-10.7,16.6
02岿 11老,258,3.5,-7.1,18.4
02岿 11老,259,2.7,-7.8,17.9
02岿 11老,260,3.1,-9,19
02岿 11老,261,2.3,-9.3,17.9
02岿 11老,262,3.6,-8.7,19.2
02岿 11老,252,0.8,-11.9,16.2
02岿 11老,253,5.7,-4.8,19.1
02岿 11老,254,1.2,-12.7,17.3
02岿 11老,255,4.4,-5.9,19
02岿 11老,257,5.1,-5.4,18.2
02岿 11老,243,1.1,-8.5,14.9
02岿 11老,244,-0.4,-15.7,16.5
02岿 11老,245,1.8,-8.7,17.7
02岿 11老,247,0.7,-12.3,17.7
02岿 11老,248,-0.5,-16.1,14.9
02岿 11老,251,2.2,-9.4,18
02岿 11老,226,0,-13.3,14.9
02岿 11老,232,0.9,-11.6,13.9
02岿 11老,235,1.2,-8.8,14.8
02岿 11老,236,1.2,-11.6,15.7
02岿 11老,238,0,-13.6,16.9
02岿 11老,211,-1.7,-18.2,13.9
02岿 11老,212,-0.6,-13.2,15
02岿 11老,216,-1.6,-18.8,13.3
02岿 11老,217,-1.2,-17.2,13.8
02岿 11老,221,-1.4,-14.6,14.4
02岿 11老,188,7.4,-3.8,18.6
02岿 11老,189,9,-1.9,18.2
02岿 11老,192,2.6,-11.1,19.9
02岿 11老,201,-0.7,-12,11.8
02岿 11老,202,0,-12.4,13.9
02岿 11老,203,-0.1,-12.8,14.2
02岿 11老,172,1.9,-10.7,17.4
02岿 11老,175,1.5,-8.9,16.6
02岿 11老,184,7,-1.2,22.3
02岿 11老,185,7.2,-2.3,17.8
02岿 11老,162,5,-5,16.3
02岿 11老,165,2.4,-6.9,15.7
02岿 11老,168,4.9,-5,16
02岿 11老,169,3.6,-4.3,15.3
02岿 11老,170,4.1,-5.5,17.4
02岿 11老,143,4.2,-6,19.4
02岿 11老,146,2.1,-9.7,17.3
02岿 11老,152,4.3,-6.3,19.9
02岿 11老,155,5,-3.9,18
02岿 11老,156,3.1,-7.5,17.5
03岿 11老,156,5.3,-4.1,21
03岿 11老,159,7.4,-2.5,20.1
03岿 11老,135,4,-5.9,19.6
03岿 11老,136,4.6,-5.9,20.8
03岿 11老,137,4.9,-5.3,21.2
03岿 11老,138,7.4,-2.6,20.9
03岿 11老,140,4,-4,15.8
03岿 11老,127,3.2,-7.7,19.2
03岿 11老,129,3.5,-6.5,14.8
03岿 11老,130,5.1,-4.3,18.6
03岿 11老,131,4.5,-5.4,19.6
03岿 11老,133,4.5,-5.5,20.3
03岿 11老,108,3.6,-5.5,16.8
03岿 11老,112,4.2,-2.8,13.4
03岿 11老,114,3.7,-7.1,18.7
03岿 11老,115,3.8,-4,15.3
03岿 11老,119,3.5,-6.7,16.9
03岿 11老,121,3.3,-9,20
03岿 11老,101,3.2,-8.5,19.1
03岿 11老,102,3,-3.1,11
03岿 11老,104,4.4,-7.6,18.5
03岿 11老,105,5.5,-5.5,20.1
03岿 11老,106,5.2,-4.9,16.3
03岿 11老,90,5.3,-5.9,18.7
03岿 11老,95,2.1,-10.3,18.1
03岿 11老,98,3.1,-7.9,18.4
03岿 11老,99,2.7,-8.9,17
03岿 11老,100,-1.3,-21.1,14.8
03岿 11老,295,6.7,-4.4,20.8
03岿 11老,283,5.1,-5.8,21.2
03岿 11老,284,3.8,-8,21.8
03岿 11老,285,5.6,-6.3,22.9
03岿 11老,288,5.9,-6.2,23.1
03岿 11老,289,5.7,-5.5,23.1
03岿 11老,294,6.9,-2.6,20.7
03岿 11老,276,3.1,-9,19.4
03岿 11老,277,5.8,-3.5,20.8
03岿 11老,278,3.6,-9.5,21.4
03岿 11老,279,5.6,-4.5,21.5
03岿 11老,281,5.2,-6.6,21.9
03岿 11老,264,4.9,-6.8,22.5
03岿 11老,266,7.1,-2,20.2
03岿 11老,271,1.8,-10.5,19.1
03岿 11老,272,3.9,-6.5,19.6
03岿 11老,273,4.5,-7.1,20.3
03岿 11老,258,5.6,-3.4,20.2
03岿 11老,259,4.8,-3.8,19.9
03岿 11老,260,5.2,-6.4,21.9
03岿 11老,261,4.5,-6,19.1
03岿 11老,262,5.9,-5.1,21.3
03岿 11老,263,5.7,-6.3,22.4
03岿 11老,252,3.9,-5.6,18
03岿 11老,253,8,-3,22.6
03岿 11老,254,4,-6.5,20.5
03岿 11老,255,6.8,-3.3,21.8
03岿 11老,257,7.3,-2,22.2
03岿 11老,244,1.9,-9.2,19.6
03岿 11老,245,4.4,-5.2,18.8
03岿 11老,247,3.4,-7.6,21.3
03岿 11老,248,2,-8.8,19.8
03岿 11老,251,4.6,-4.6,20
03岿 11老,226,2.9,-8.6,20
03岿 11老,232,3.6,-6.7,19
03岿 11老,235,3.5,-5.8,14.5
03岿 11老,236,4,-6.6,19.4
03岿 11老,238,3.2,-8.2,20.4
03岿 11老,243,4,-4.5,16.9
03岿 11老,211,1.7,-12.2,17.6
03岿 11老,212,2.9,-9.3,19.9
03岿 11老,216,0.7,-13.8,15.9
03岿 11老,217,2.1,-10.5,18.8
03岿 11老,221,1.7,-9.8,18.9
03岿 11老,189,9.3,1.8,18.9
03岿 11老,192,5.4,-6.1,21.5
03岿 11老,201,3.1,-6.5,13.5
03岿 11老,202,3.6,-8,18.9
03岿 11老,203,3.4,-7.9,19.2
03岿 11老,172,4.2,-4.8,18.7
03岿 11老,174,,,
03岿 11老,175,3,-5,17.8
03岿 11老,184,7.8,1,18.7
03岿 11老,185,7.6,1.8,16.6
03岿 11老,188,7.6,-1.6,18.5
03岿 11老,162,6.8,-2.4,18.8
